company,stock_name,esg_rating,pe_ratio,roe,open
Lloyds Metals,BOM:512455,44.1,26.22,90.48,604.9
Esab India,BOM:500133,18.7,56.17,53.16,5827.95
Coal India,BOM:533278,45.0,8.47,55.99,387.8
Fine Organic,BOM:541557,30.1,32.3,49.43,4854.0
TCS,LON:TCS,30.0,30.05,46.92,2.39
Page Industries,BOM:532827,14.3,85.31,46.44,38899.0
West Coast Paper,BOM:500444,20.0,4.78,44.79,722.9
Gillette India,BOM:507815,26.1,59.03,38.49,6650.0
Indian Energy Ex,BOM:540750,21.3,47.57,39.38,166.0
Tata Elxsi,BOM:500408,20.8,68.53,41.07,8607.55
Clean Science,BOM:543318,26.5,60.48,33.2,1577.0
Angel One,BOM:543235,32.9,29.47,47.12,3596.0
Marico,BOM:531642,20.0,50.81,35.85,544.95
CRISIL,BOM:500092,18.5,50.04,32.93,4170.95
Infosys,BOM:500209,13.8,25.24,31.82,18.2
Vedant Fashions,BOM:543463,25.8,75.22,34.03,1260.0
Sonata Software,BOM:532221,22.5,41.57,37.68,710.0
ITC,NYS:ANF,15.0,29.52,29.09,480.0
Coromandel Inter,BOM:506395,36.8,18.27,28.12,1255.0
Mazagon Dock,BOM:543237,30.7,36.27,28.59,2294.2
Tanla Platforms,BOM:532790,24.8,28.35,31.18,1089.9
LTIMindtree,BOM:540005,22.4,39.22,28.55,5963.0
Seshasayee Paper,BOM:502450,20.5,6.05,27.39,354.35
Balaji Amines,BOM:530999,31.0,43.86,23.21,2608.0
eClerx Services,BOM:532927,18.0,24.77,29.29,2590.0
GHCL,BOM:500171,28.9,6.52,31.5,605.8
Solar Industries,BOM:532725,22.8,75.39,33.38,6750.0
Akzo Nobel,BOM:500710,31.2,30.43,26.1,71.32
SKF India,BOM:500472,21.2,46.36,24.81,4575.2
Asian Paints,BOM:500820,25.3,63.81,27.74,3372.0
ION Exchange,BOM:500214,29.4,39.66,26.21,559.5
MPS,TKS:6480,32.2,30.97,25.39,0.52
EMS,NYS:DDD,23.0,23.47,24.76,665.0
L&T Technology,BOM:540115,16.8,43.52,25.01,5159.0
Suven Pharma,BOM:543064,13.2,44.26,24.51,740.05
Rolex Rings,BOM:543325,34.9,34.99,30.75,2518.6
Narayana Hrudaya,BOM:539551,32.5,32.7,33.06,1178.9
Tube Investments,BOM:540762,22.2,75.31,26.97,3539.0
Gujarat Gas,BOM:539336,27.2,27.78,24.19,500.1
Praj Industries,BOM:522205,35.7,37.43,23.69,553.4
Brightcom Group,BOM:532368,26.8,2.77,22.3,19.1
Coforge,BOM:532541,22.3,50.67,25.13,5945.0
Vinati Organics,BOM:524200,28.3,43.82,22.63,1749.5
Persistent Sys,BOM:533179,19.3,55.7,25.32,7312.0
NMDC,BOM:526371,30.3,13.09,23.0,219.05
Bharat Electron,BOM:500049,31.3,41.12,22.79,182.5
Deepak Nitrite,BOM:506401,36.4,42.51,22.71,2478.0
Gujarat Fluoroch,BOM:542812,24.5,45.9,27.03,3872.05
Schaeffler India,BOM:505790,14.0,52.76,21.88,3116.1
Mphasis,BOM:526299,19.2,30.55,21.86,2591.95
Triveni Turbine,BOM:533655,33.9,57.53,21.5,420.6
JK Paper,BOM:532162,26.5,5.56,33.95,399.0
HCL Technologies,BOM:532281,12.0,24.96,23.0,1437.0
Timken India,BOM:522113,23.4,67.62,21.13,3151.55
Alkyl Amines,BOM:506767,29.4,79.41,21.46,2668.5
Grindwell Norton,BOM:506076,22.5,68.85,20.74,2342.5
Godawari Power,BOM:532734,36.3,13.67,22.29,784.5
Varun Beverages,BOM:540180,34.1,81.9,33.54,1246.0
Happiest Minds,BOM:543227,20.5,62.2,28.93,907.7
Eicher Motors,BOM:505200,13.0,29.52,21.12,3887.5
Ratnamani Metals,BOM:520111,38.6,38.13,21.05,3358.0
Century Plyboard,BOM:532548,23.4,44.61,22.78,776.0
Rajratan Global,BOM:517522,20.1,53.14,25.66,773.4
APL Apollo Tubes,BOM:533758,27.7,52.46,23.5,1480.0
Cummins India,BOM:500480,24.2,41.76,21.63,1977.1
Mahanagar Gas,BOM:539957,33.0,10.57,20.44,1227.0
Petronet LNG,BOM:532522,30.2,10.23,22.85,229.8
Caplin Point Lab,BOM:524742,33.6,25.63,25.59,1399.0
KEI Industries,BOM:517569,22.3,57.15,20.21,3258.6
Oil India,BOM:533106,48.4,6.01,25.23,389.4
AIA Engineering,BOM:532683,23.9,27.96,20.05,3579.0
Redington,BOM:532805,12.3,11.0,21.89,176.0
Elgi Equipments,BOM:522074,21.3,42.26,23.77,542.8
Blue Star,BOM:500067,29.2,60.81,23.41,0.1468
Metro Brands,BOM:543426,17.4,100.78,25.43,1267.8
Berger Paints,BOM:509480,37.1,67.56,20.44,598.45
SRF,BOM:503806,38.3,42.85,22.84,1.3
Transport Corp.,TAI:2607,18.5,18.96,20.47,55.0
Laurus Labs,BOM:540222,36.8,64.27,20.43,431.0
Adani Total Gas,BOM:542066,23.9,214.78,20.39,1140.0
JSW Infrast,BOM:543994,32.6,60.7,20.41,214.2